code	leaf	entry_label	new_occurrence	context_codes	decoded_context	verdict	implied_letter	key_current_value	pass_align_chunk	pass_align_status	pass_verdict	image_hand_check_bro5
x	m0289	Carta 92	yes	19.4.[x].22.y	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		d	d	agrees	agree	
f	m0289	Carta 92	yes	22.y.[f].g.17	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		s	s	agrees	agree	
x	m0289	Carta 92	yes	23.m.[x].d.7	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		d	d	agrees	agree	
d	m0289	Carta 92	yes	m.x.[d].7.h	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		o	o	agrees	agree	
x	m0289	Carta 92	yes	y±.17.[x].15.56±	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		d	d	agrees	agree	
x	m0289	Carta 92	yes	15.56±.[x].25.5	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		d	d	agrees	agree	
f	m0289	Carta 92	yes	g.4.[f].7.10	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		s	s	agrees	agree	
f	m0289	Carta 92	yes	15.8.[f].4.19	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		s	c	conflict:s	differ	
f	m0289	Carta 92	yes	4.19.[f].5.15	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		s	s	agrees	agree	
16	m0289	Carta 92	yes	15.18.[16].c.h	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		f	h	conflict:f	differ	
x	m0289	Carta 92	yes	5.25.[x].z.c	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		d	d	agrees	agree	
z	m0289	Carta 92	yes	25.x.[z].c.g	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		r	e	agrees	differ	distinct barred/crossed glyph, clearly unlike plain 7 (align/crops/bro5_m0289_carta92_z.jpg); this occurrence is ABSENT from ciphertext_appendix.tsv entirely (present only in scripts/_anchors.json / align/pairs.tsv) -- decode_key.py does not count it; flag for reconciliation; verdict unreadable/inconclusive this pass
d	m0289	Carta 92	yes	m.p±.[d].14.y	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	fits	o	o	o	agrees	(already resolved by AX-BRO3)	
f	m0290	Carta 93	yes	18.24.[f].3.y	E não está huma boa intelligencia hum exSort.± e Bullingbrook	cannot tell		s	s	agrees	agree	
16	m0290	Carta 93	yes	15.y.[16].d.12	E não está huma boa intelligencia hum exSort.± e Bullingbrook	cannot tell		f	s	agrees	differ	
d	m0290	Carta 93	yes	y.16.[d].12.a	E não está huma boa intelligencia hum exSort.± e Bullingbrook	cannot tell		o	o	agrees	agree	
z	m0290	Carta 93	yes	8.m.[z].21.12	E não está huma boa intelligencia hum exSort.± e Bullingbrook	cannot tell		r	g	conflict:e	differ	
z	m0290	Carta 93	yes	15.5.[z].z	E não está huma boa intelligencia hum exSort.± e Bullingbrook	cannot tell		r	o	conflict:e	differ	
z	m0290	Carta 93	yes	5.z.[z]	E não está huma boa intelligencia hum exSort.± e Bullingbrook	cannot tell		r	k	conflict:e	differ	
d	m0290	Passage 2a	yes	25.c.[d].f.24	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		o	o	agrees	agree	
f	m0290	Passage 2a	yes	c.d.[f].24.26	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		s	s	agrees	agree	
x	m0290	Passage 2a	yes	55.15.[x].7.12	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		d	d	agrees	agree	
f	m0290	Passage 2a	yes	14.24.[f].7.a	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		s	s	agrees	agree	
d	m0290	Passage 2a	yes	h.11.[d].16.15	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		o	o	agrees	agree	
16	m0290	Passage 2a	yes	11.d.[16].15.12	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		f	f	agrees	agree	
x	m0290	Passage 2a	yes	26.m.[x].2.15	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		d	d	agrees	agree	
f	m0290	Passage 2a	yes	14.g.[f].a.7	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		s	s	agrees	agree	
x	m0290	Passage 2a	yes	26.m.[x].d.y	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		d	d	agrees	agree	
d	m0290	Passage 2a	yes	m.x.[d].y.f	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		o	o	agrees	agree	
f	m0290	Passage 2a	yes	d.y.[f].8.14	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		s	s	agrees	agree	
9	m0290	Passage 2a	yes	15.g.[9].5.d	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		r	i	conflict:r	differ	
d	m0290	Passage 2a	yes	9.5.[d].7.f	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		o		null-or-unaligned	still undecidable	
f	m0290	Passage 2a	yes	d.7.[f].x.17	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		s	s	agrees	agree	
x	m0290	Passage 2a	yes	7.f.[x].17.10	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		d	d	agrees	agree	
f	m0290	Passage 2a	yes	8.y.[f].x.d	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	cannot tell		s		null-or-unaligned	still undecidable	
x	m0290	Passage 2a	yes	y.f.[x].d.4	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	fits	d	d	d	agrees	(already resolved by AX-BRO3)	
d	m0290	Passage 2a	yes	f.x.[d].4.h	Elle ou Ella ou o seu Thesoureiro poderão estar nesse tempo fora do Mu	fits	o	o	o	agrees	(already resolved by AX-BRO3)	
f	m0291	Passage 3a	yes	h.15.[f].m.10	Pelos Wighs a entrada do Principe de Hanover, por Escocia pa. previnir	cannot tell		s	s	agrees	agree	
x	m0291	Passage 3a	yes	18.17.[x].23.2	Pelos Wighs a entrada do Principe de Hanover, por Escocia pa. previnir	cannot tell		d	d	agrees	agree	
x	m0291	Passage 3a	yes	55.24.[x].7.10	Pelos Wighs a entrada do Principe de Hanover, por Escocia pa. previnir	cannot tell		d	d	agrees	agree	
d	m0291	Passage 3a	yes	12.55.[d].12.7	Pelos Wighs a entrada do Principe de Hanover, por Escocia pa. previnir	cannot tell		o	o	agrees	agree	
f	m0291	Passage 3a	yes	12.7.[f].5.15	Pelos Wighs a entrada do Principe de Hanover, por Escocia pa. previnir	cannot tell		s	s	agrees	agree	
x	m0291	Passage 3a	yes	12.y.[x].d.11	Pelos Wighs a entrada do Principe de Hanover, por Escocia pa. previnir	cannot tell		d		null-or-unaligned	still undecidable	
d	m0291	Passage 3a	yes	y.x.[d].11.5	Pelos Wighs a entrada do Principe de Hanover, por Escocia pa. previnir	cannot tell		o	o	agrees	agree	
f	m0291	Carta 94	yes	7.4.[f].19.7	Podem envergonhar esta Rainha	cannot tell		s	m	conflict:s	differ	
16	m0291	Carta 96	yes	26.2.[16].8.5	Crer e gosto com q. fico. 	fits	f	f	f	agrees	(already resolved by AX-BRO3)	
f	m0291	Carta 96	no (already in key.tsv build)	3.2.[f].f.15	 o diabo leva o Thesoureiro	cannot tell		s	e	conflict:s	differ	
f	m0291	Carta 96	no (already in key.tsv build)	2.f.[f].15.c	 o diabo leva o Thesoureiro	fits	s	s	s	agrees	(already resolved by AX-BRO3)	
9	m0292	Carta 101	yes	23.10.[9]	 porta de Londres.	cannot tell		r	o	conflict:r	differ	
d	m0293	Carta 106	yes	8.14.[d].21.12	 do Thesoureiro, e de Bullingbrook seremos vendidos	cannot tell		o	g	conflict:o	differ	
f	m0293	Passage 2a	yes	15.4.[f].25.8	Este velhaco de Bullingbrook hé nosso inimigo	fits	s	s	s	agrees	(already resolved by AX-BRO3)	
x	m0294	Carta 110	yes	15.55.[x].7.12	Este Velhaco não responder-me foge de mim devo esta vergonha à sua men	cannot tell		d	d	agrees	agree	
16	m0294	Carta 110	yes	18.7.[16].15.e	Este Velhaco não responder-me foge de mim devo esta vergonha à sua men	cannot tell		f	f	agrees	agree	
