line	pos	sign	conf	why
p1L07	15	xr_	H	G1 reading
p1L07	16	4000	H	G1 reading
p1L07	17	34	H	G1 reading
p1L08	1	44	H	G1 reading
p1L08	2	60	H	G1 reading
p1L08	3	88	H	G1 reading
p1L08	4	tau	H	G1 reading
p1L08	5	f	H	G1 reading
p1L08	6	ps	H	G1 reading
p1L08	7	53	H	G1 reading
p1L08	8	48	H	G1 reading
p1L08	9	34	H	G1 reading
p1L08	10	d	H	G1 reading
p1L08	11	f	H	G1 reading
p1L08	12	cc	H	G1 reading
p1L08	13	or	H	G1 reading
p1L08	14	r	H	G1 reading
p1L08	15	3	H	G1 reading
p1L08	16	01	H	G1 reading
p1L08	17	88	H	G1 reading
p1L08	18	xr	H	G1 reading
p1L09	1	dd	H	G1 reading
p1L09	2	rr	H	G1 reading
p1L09	3	f	H	G1 reading
p1L09	4	ps	H	G1 reading
p1L09	5	v	H	G1 reading
p1L09	6	ob	H	G1 reading
p1L09	7	+	H	G1 reading
p1L09	8	7	H	G1 reading
p1L09	9	34	H	G1 reading
p1L09	10	cc	H	G1 reading
p1L09	11	d	H	G1 reading
p1L09	12	f	H	G1 reading
p1L09	13	88	H	G1 reading
p1L09	14	m	H	G1 reading
p1L09	15	xb	M	doubtful shape
p1L09	16	L	H	G1 reading
p1L09	17	]	H	G1 reading
p1L09	18	f	H	G1 reading
p1L09	19	ps	H	G1 reading
p1L10	1	dd	H	G1 reading
p1L10	2	34	H	G1 reading
p1L10	3	or	H	G1 reading
p1L10	4	d	H	G1 reading
p1L10	5	f	H	G1 reading
p1L10	6	cc	H	G1 reading
p1L10	7	98	H	G1 reading
p1L10	8	bbb	H	G1 reading
p1L10	9	ro	H	G1 reading
p1L10	10	th	H	G1 reading
p1L10	11	Ol	H	G1 reading
p1L10	12	hs	H	G1 reading
p1L10	13	oo	H	G1 reading
p1L10	14	ps	M	doubtful shape
p1L11	1	88	H	G1 reading
p1L11	2	f	H	G1 reading
p1L11	3	34	H	G1 reading
p1L11	4	ps	H	G1 reading
p1L11	5	th	H	G1 reading
p1L11	6	m	H	G1 reading
p1L11	7	hs	H	G1 reading
p1L11	8	xr	H	G1 reading
p1L11	9	aab	H	G1 reading
p1L11	10	f	H	G1 reading
p1L11	11	tn	H	G1 reading
p1L11	12	34	H	G1 reading
p1L11	13	f	H	G1 reading
p1L11	14	88x	H	G1 reading
p1L11	15	7	H	G1 reading
p1L11	16	88	H	G1 reading
p2L01	1	x+	H	G1 reading
p2L01	2	34	H	G1 reading
p2L01	3	f	H	G1 reading
p2L01	4	cc	H	G1 reading
p2L01	5	53	H	G1 reading
p2L01	6	34	H	G1 reading
p2L01	7	f	H	G1 reading
p2L01	8	88	H	G1 reading
p2L01	9	rf	H	G1 reading
p2L01	10	f	H	G1 reading
p2L01	11	m	H	G1 reading
p2L01	12	d	H	G1 reading
p2L01	13	f	H	G1 reading
p2L01	14	ps	H	G1 reading
p2L01	15	th	H	G1 reading
p2L01	16	x	H	G1 reading
p2L01	17	sqt	H	G1 reading
p2L02	1	]	H	G1 reading
p2L02	2	hs	H	G1 reading
p2L02	3	xr	H	G1 reading
p2L02	4	aab	H	G1 reading
p2L02	5	tau	H	G1 reading
p2L02	6	hs	H	G1 reading
p2L02	7	r	H	G1 reading
p2L02	8	01	H	G1 reading
p2L02	9	m	H	G1 reading
p2L02	10	7	H	G1 reading
p2L02	11	f	H	G1 reading
p2L02	12	x_	H	G1 reading
p2L02	13	f	H	G1 reading
p2L02	14	88	H	G1 reading
p2L02	15	z	H	G1 reading
p2L02	16	53	H	G1 reading
p2L02	17	od	H	G1 reading
p2L03	1	rr	H	G1 reading
p2L03	2	ob	H	G1 reading
p2L03	3	oo	H	G1 reading
p2L03	4	58	H	G1 reading
p2L03	5	34	H	G1 reading
p2L03	6	60	H	G1 reading
p2L03	7	m	H	G1 reading
p2L03	8	Ib	H	G1 reading
p2L03	9	zz	H	G1 reading
p2L03	10	xb	H	G1 reading
p2L03	11	88x	H	G1 reading
p2L03	12	ob	H	G1 reading
p2L03	13	ps	H	G1 reading
p2L04	1	ro	H	G1 reading
p2L04	2	f	H	G1 reading
p2L04	3	cc	H	G1 reading
p2L04	4	60	H	G1 reading
p2L04	5	f	M	doubtful shape
p2L04	6	88	H	G1 reading
p2L04	7	cc	H	G1 reading
p2L04	8	f	H	G1 reading
p2L04	9	33	H	G1 reading
p2L04	10	f	H	G1 reading
p2L04	11	ps	H	G1 reading
p2L04	12	m	H	G1 reading
p2L04	13	x	H	G1 reading
p2L04	14	]	H	G1 reading
p2L04	15	L	H	G1 reading
p2L05	1	f	H	G1 reading
p2L05	2	cc	H	G1 reading
p2L05	3	aab	H	G1 reading
p2L05	4	01	H	G1 reading
p2L05	5	6	H	G1 reading
p2L05	6	f	H	G1 reading
p2L05	7	aaa	H	G1 reading
p2L05	8	L	H	G1 reading
p2L05	9	phi	H	G1 reading
p2L05	10	m	H	G1 reading
p2L05	11	of	H	G1 reading
p2L05	12	f	H	G1 reading
p2L05	13	oo	H	G1 reading
p2L05	14	th	H	G1 reading
p2L06	1	Ol	H	G1 reading
p2L06	2	34	H	G1 reading
p2L06	3	Ib	H	G1 reading
p2L06	4	ps	H	G1 reading
p2L06	5	d	H	G1 reading
p2L06	6	f	H	G1 reading
p2L06	7	88x	H	G1 reading
p2L06	8	4000	H	G1 reading
p2L06	9	34	H	G1 reading
p2L06	10	60	H	G1 reading
p2L06	11	44	H	G1 reading
p2L06	12	88x	H	G1 reading
p2L06	13	th	H	G1 reading
p2L07	1	f	H	G1 reading
p2L07	2	or	H	G1 reading
p2L07	3	58	H	G1 reading
p2L07	4	48	H	G1 reading
p2L07	5	60	H	G1 reading
p2L07	6	th	H	G1 reading
p2L07	7	f	H	G1 reading
p2L07	8	or	H	G1 reading
p2L07	9	cc	H	G1 reading
p2L07	10	f	H	G1 reading
p2L07	11	33	H	G1 reading
p2L07	12	x	H	G1 reading
p2L07	13	88	H	G1 reading
p2L07	14	xr	H	G1 reading
p2L07	15	dd	H	G1 reading
p2L08	1	sq	H	G1 reading
p2L08	2	f	H	G1 reading
p2L08	3	60	H	G1 reading
p2L08	4	r	H	G1 reading
p2L08	5	m	H	G1 reading
p2L08	6	xr	H	G1 reading
p2L08	7	xb	H	G1 reading
p2L08	8	x_	H	G1 reading
p2L08	9	x	H	G1 reading
p2L08	10	vi	H	G1 reading
p2L08	11	f	H	G1 reading
p2L08	12	oo	H	G1 reading
p2L08	13	th	H	G1 reading
p2L08	14	hs	H	G1 reading
p2L08	15	f	H	G1 reading
p2L08	16	]	H	G1 reading
p2L08	17	Ib	H	G1 reading
p2L09	1	f	H	G1 reading
p2L09	2	ps	H	G1 reading
p2L09	3	aab	H	G1 reading
p2L09	4	f	H	G1 reading
p2L09	5	60	H	G1 reading
p2L09	6	88x	H	G1 reading
p2L09	7	x	H	G1 reading
p2L09	8	th	H	G1 reading
p2L09	9	6	H	G1 reading
p2L09	10	aa	H	G1 reading
p2L09	11	44	H	G1 reading
p2L09	12	od	H	G1 reading
p2L09	13	ps	H	G1 reading
p2L09	14	34	H	G1 reading
p2L10	1	60	H	G1 reading
p2L10	2	f	H	G1 reading
p2L10	3	b	H	G1 reading
p2L10	4	f	H	G1 reading
p2L10	5	oo	H	G1 reading
p2L10	6	hs	H	G1 reading
p2L10	7	88	H	G1 reading
p2L10	8	f	H	G1 reading
p2L10	9	88x	H	G1 reading
p2L10	10	34	H	G1 reading
p2L10	11	48	H	G1 reading
p2L10	12	60	H	G1 reading
p2L10	13	88x	H	G1 reading
p2L10	14	th	H	G1 reading
p2L10	15	f	H	G1 reading
p2L10	16	or	H	G1 reading
p2L11	1	x	H	G1 reading
p2L11	2	or	M	doubtful shape
p2L11	3	88	H	G1 reading
p2L11	4	6	H	G1 reading
p2L11	5	53	H	G1 reading
p2L11	6	34	H	G1 reading
p2L11	7	]	H	G1 reading
p2L11	8	f	H	G1 reading
p2L11	9	6	H	G1 reading
p2L11	10	77	H	G1 reading
p2L11	11	f	H	G1 reading
p2L11	12	or	H	G1 reading
p2L11	13	Ib	H	G1 reading
p2L11	14	Ib+	H	G1 reading
p2L12	1	aa	H	G1 reading
p2L12	2	x	H	G1 reading
p2L12	3	q	H	G1 reading
p2L12	4	ob	H	G1 reading
p2L12	5	d6	H	G1 reading
p2L12	6	x_	H	G1 reading
p2L12	7	x	H	G1 reading
p2L12	8	44	H	G1 reading
p2L12	9	xr	H	G1 reading
p2L12	10	aab	H	G1 reading
p2L12	11	34	H	G1 reading
p2L12	12	od	H	G1 reading
p2L12	13	ps	H	G1 reading
p2L13	1	rr	H	G1 reading
p2L13	2	m	H	G1 reading
p2L13	3	x	H	G1 reading
p2L13	4	60	H	G1 reading
p2L13	5	q	H	G1 reading
p2L13	6	34	H	G1 reading
p2L13	7	60	H	G1 reading
p2L13	8	44	H	G1 reading
p2L13	9	88x	H	G1 reading
p2L13	10	th	H	G1 reading
p2L13	11	ob	H	G1 reading
p2L13	12	b	H	G1 reading
p2L13	13	f	H	G1 reading
p2L13	14	or	H	G1 reading
p2L14	1	m	H	G1 reading
p2L14	2	f	H	G1 reading
p2L14	3	34	H	G1 reading
p2L14	4	6	H	G1 reading
p2L14	5	x_	H	G1 reading
p2L14	6	f	H	G1 reading
p2L14	7	ps	H	G1 reading
p2L14	8	60	H	G1 reading
p2L14	9	f	H	G1 reading
p2L14	10	88x	H	G1 reading
p2L14	11	ps	H	G1 reading
p2L14	12	Ib	H	G1 reading
p2L14	13	33	H	G1 reading
p2L14	14	rf	H	G1 reading
p2L14	15	f	H	G1 reading
p2L14	16	oo	H	G1 reading
p2L15	1	f	H	G1 reading
p2L15	2	sqt	H	G1 reading
p2L15	3	m	H	G1 reading
p2L15	4	x	H	G1 reading
p2L15	5	]	H	G1 reading
p2L15	6	aaa	H	G1 reading
p2L15	7	f	H	G1 reading
p2L15	8	ps	H	G1 reading
p2L15	9	hs	H	G1 reading
p2L15	10	33	H	G1 reading
p2L15	11	m	H	G1 reading
p2L15	12	th	H	G1 reading
p2L15	13	6	H	G1 reading
p2L15	14	101	H	G1 reading
p2L16	1	88	H	G1 reading
p2L16	2	ob	H	G1 reading
p2L16	3	oo	H	G1 reading
p2L16	4	b	H	G1 reading
p2L16	5	f	H	G1 reading
p2L16	6	ps	H	G1 reading
p2L16	7	th	H	G1 reading
p2L16	8	hs	H	G1 reading
p2L16	9	f	H	G1 reading
p2L16	10	]	H	G1 reading
p2L16	11	L	H	G1 reading
p2L16	12	f	H	G1 reading
p2L16	13	ps	H	G1 reading
p2L16	14	aab	H	G1 reading
p2L16	15	f	H	G1 reading
p2L17	1	60	H	G1 reading
p2L17	2	88	H	G1 reading
p2L17	3	x	H	G1 reading
p2L17	4	th	H	G1 reading
p2L17	5	6	H	G1 reading
p2L17	6	aa	H	G1 reading
p2L17	7	hs	H	G1 reading
p2L17	8	x+	H	G1 reading
p2L17	9	aaa	H	G1 reading
p2L17	10	ut	H	G1 reading
p2L17	11	aab	H	G1 reading
p2L17	12	f	H	G1 reading
p2L17	13	x	H	G1 reading
p2L17	14	z	H	G1 reading
p2L18	1	ob	H	G1 reading
p2L18	2	b	H	G1 reading
p2L18	3	x	H	G1 reading
p2L18	4	oo	H	G1 reading
p2L18	5	b	H	G1 reading
p2L18	6	f	H	G1 reading
p2L18	7	m	H	G1 reading
p2L18	8	f	H	G1 reading
p2L18	9	t	H	G1 reading
p2L18	10	f	H	G1 reading
p2L18	11	ps	H	G1 reading
p2L18	12	]	H	G1 reading
p2L18	13	f	H	G1 reading
p2L18	14	hs	H	G1 reading
p2L18	15	oo	H	G1 reading
p2L19	1	x+	H	G1 reading
p2L19	2	m	H	G1 reading
p2L19	3	sqt	H	G1 reading
p2L19	4	th	H	G1 reading
p2L19	5	f	H	G1 reading
p2L19	6	ps	H	G1 reading
p2L19	7	oo	H	G1 reading
p2L19	8	f	H	G1 reading
p2L19	9	3	H	G1 reading
p2L19	10	01	H	G1 reading
p2L19	11	88	H	G1 reading
p2L19	12	xr	H	G1 reading
p2L19	13	dd	H	G1 reading
p2L20	1	34	H	G1 reading
p2L20	2	3	H	G1 reading
p2L20	3	33	H	G1 reading
p2L20	4	f	H	G1 reading
p2L20	5	88x	H	G1 reading
p2L20	6	zz	H	G1 reading
p2L20	7	aab	H	G1 reading
p2L20	8	60	H	G1 reading
p2L20	9	ps	H	G1 reading
p2L20	10	rf	H	G1 reading
p2L20	11	ii	H	G1 reading
p2L20	12	b	H	G1 reading
p2L20	13	67	H	G1 reading
p2L20	14	Ib	H	G1 reading
p2L21	1	th	H	G1 reading
p2L21	2	f	H	G1 reading
p2L21	3	88x	H	G1 reading
p2L21	4	60	H	G1 reading
p2L21	5	34	H	G1 reading
p2L21	6	g	H	G1 reading
p2L21	7	t	H	G1 reading
p2L21	8	f	H	G1 reading
p2L21	9	oo	H	G1 reading
p2L21	10	rf	H	G1 reading
p2L21	11	th	H	G1 reading
p2L21	12	b	H	G1 reading
p2L21	13	f	H	G1 reading
p2L21	14	ps	H	G1 reading
p2L21	15	Ol	H	G1 reading
p2L22	1	34	H	G1 reading
p2L22	2	60	H	G1 reading
p2L22	3	th	H	G1 reading
p2L22	4	m	H	G1 reading
p2L22	5	of	H	G1 reading
p2L22	6	q	H	G1 reading
p2L22	7	f	H	G1 reading
p2L22	8	BLOT	M	doubtful shape
p2L22	9	88	H	G1 reading
p2L22	10	x+	H	G1 reading
p2L22	11	d6	H	G1 reading
p2L22	12	aab	H	G1 reading
p2L22	13	7	H	G1 reading
p2L22	14	f	H	G1 reading
p2L22	15	ps	H	G1 reading
p2L23	1	th	H	G1 reading
p2L23	2	x+	H	G1 reading
p2L23	3	f	H	G1 reading
p2L23	4	zz	H	G1 reading
p2L23	5	60	H	G1 reading
p2L23	6	60	H	G1 reading
p2L23	7	x+	H	G1 reading
p2L23	8	ps	H	G1 reading
p2L23	9	th	H	G1 reading
p2L23	10	f	H	G1 reading
p2L23	11	88	H	G1 reading
p2L23	12	]	H	G1 reading
p2L23	13	f	H	G1 reading
p2L23	14	m	H	G1 reading
p2L23	15	q	H	G1 reading
p2L23	16	f	H	G1 reading
p2L23	17	ps	H	G1 reading
p2L24	1	34	H	G1 reading
p2L24	2	33	H	G1 reading
p2L24	3	sq	H	G1 reading
p2L24	4	xn	H	G1 reading
p2L24	5	g	H	G1 reading
p2L24	6	88	H	G1 reading
p2L24	7	hs	H	G1 reading
p2L24	8	xr	H	G1 reading
p2L24	9	101	H	G1 reading
p2L24	10	zz	H	G1 reading
p2L24	11	th	H	G1 reading
p2L24	12	Ib	H	G1 reading
p2L24	13	f	H	G1 reading
p2L24	14	]	H	G1 reading
p2L24	15	L	H	G1 reading
p2L24	16	g	H	G1 reading
p2L24	17	8	M	doubtful shape
p2L25	1	aaa	H	G1 reading
p2L25	2	x+	H	G1 reading
p2L25	3	xr	H	G1 reading
p2L25	4	101	H	G1 reading
p2L25	5	f	H	G1 reading
p2L25	6	ps	H	G1 reading
p2L25	7	60	H	G1 reading
p2L25	8	phi	H	G1 reading
p2L25	9	oo	H	G1 reading
p2L25	10	aab	H	G1 reading
p2L25	11	hs	H	G1 reading
p2L25	12	ps	H	G1 reading
p2L25	13	th	H	G1 reading
p2L25	14	x+	H	G1 reading
p2L25	15	cc	H	G1 reading
