run	page_img	pos	token	kind	groen_token	agree	note
9	p1	5b	340	num	(absent)	N	extra numeral in image between "335" and clear "zu 291" -- Groen (dbnl text, checked directly) has no numeral here at all: "...335. fuer dasz zu 291..."; image reads "...335. fuer dz 340. zu 291..."
10	p1	1	291	num	291	Y	
10	p1	2	ge	clear	ge	Y	
10	p1	3	24	num	24	Y	
10	p1	4	9	num	9	Y	
10	p1	5	14	num	14	Y	
10	p1	6	81	num	81	Y	
10	p1	7	79	num	79	Y	
10	p1	8	33	num	33	Y	
10	p1	9	34	num	34	Y	
10	p1	10	127	num	127	Y	
10	p1	11	59	num	59	Y	
10	p1	12	8	num	8	Y	
10	p1	13	78	num	78	Y	
10	p1	14	56	num	56	Y	
10	p1	15	59	num	59	Y	
10	p1	16	3	num	3	Y	
10	p1	17	65	num	65	Y	
10	p1	18	96	num	96	Y	
10	p1	19	44	num	44	Y	
10	p1	20	59	num	59	Y	
11	p1	1	14	num	14	Y	
11	p1	2	68	num	68	Y	
11	p1	3	69	num	69	Y	
11	p1	4	37	num	37	Y	
11	p1	5	9	num	9	Y	
11	p1	6	2	num	2	Y	
11	p1	7	115	num	115	Y	
11	p1	8	66	num	66	Y	
11	p1	9	59	num	59	Y	
11	p1	10	rn	clear	rn	Y	
11	p1	11	9	num	9	Y	
11	p1	12	50	num	50	Y	
11	p1	13	39	num	39	Y	
11	p1	14	79	num	79	Y	
11	p1	15	27	num	27	Y	
11	p1	16	110	num	110	Y	
11	p1	17	44	num	44	Y	
11	p1	18	77	num	77	Y	
11	p1	19	74	num	74	Y	
11	p1	20	4	num	4	Y	
11	p1	21	76	num	76	Y	
11	p1	22	70	num	70	Y	
11	p1	23	78	num	78	Y	
11	p1	24	73	num	73	Y	
11	p1	25	127	num	127	Y	
11	p1	26	137	num	137	Y	
11	p1	27	uff	clear	uff	Y	
11	p1	28	53	num	53	Y	
11	p1	29	54	num	54	Y	
11	p1	30	92	num	92	Y	
11	p1	31	9	num	9	Y	
11	p1	32	111	num	111	Y	
11	p1	33	54	num	54	Y	
11	p1	34	ge	clear	ge	Y	
11	p1	35	98	num	98	Y	
11	p1	36	55	num	55	Y	
11	p1	37	7	num	7	Y	
11	p1	38	er	clear	er	Y	
11	p1	39	14	num	14	Y	
11	p1	40	dem	clear	dem	Y	
11	p1	41	83	num	83	Y	
11	p1	42	13	num	13	Y	
11	p1	43	63	num	63	Y	
11	p1	44	er	clear	er	Y	
11	p1	45	91	num	91	Y	
11	p1	46	65	num	65	Y	
11	p1	47	93	num	93	Y	
11	p1	48	34	num	34	Y	
12	p1	1	14	num	14	Y	
12	p1	2	24	num	24	Y	
12	p1	3	335	num	335	Y	
13	p1	1	105	num	105	Y	
13	p1	2	18	num	18	Y	
13	p1	3	64	num	64	Y	
13	p1	4	42	num	42	Y	
13	p1	5	12	num	12	Y	
13	p1	6	100	num	100	Y	
13	p1	7	83	num	83	Y	
13	p1	8	d	clear	d	Y	
13	p1	9	9	num	9	Y	
13	p1	10	69	num	69	Y	
13	p1	11	47	num	47	Y	
13	p1	12	48	num	48	Y	
13	p1	13	9	num	9	Y	
13	p1	14	345	num	345	Y	
13	p1	15	14	num	14	Y	
13	p1	16	71	num	71	Y	
13	p1	17	74	num	74	Y	
13	p1	18	4	num	4	Y	
13	p1	19	38	num	38	Y	
13	p1	20	23	num	23	Y	
14	p1	1	201	num	201	Y	
15	p1	1	78	num	78	Y	
15	p1	2	60	num	60	Y	
15	p1	3	7	num	7	Y	
15	p1	4	74	num	74	Y	
15	p1	5	47	num	47	Y	
15	p1	6	9	num	9	Y	
15	p1	7	182	num	182	Y	
15	p1	8	vert	clear	vert	Y	
15	p1	9	179	num	179	Y	
15	p1	10	104	num	104	Y	
15	p1	11	94	num	94	Y	
15	p1	12	6	num	6	Y	
15	p1	13	69	num	69	Y	
15	p1	14	93	num	93	Y	
15	p1	14b	iiij cl.	roman	iiij cl.	Y	roman numerals (Groen prints "1111 cl.") before run16 token 138; present in Groen's actual page text, not captured by groen_5549.tsv's digit-only regex (extraction gap, not a Groen omission)
16	p1	1	138	num	138	Y	
16	p1	2	129	num	129	Y	
16	p1	3	344	num	344	Y	
16	p1	4	14	num	14	Y	
16	p1	5	24	num	24	Y	
16	p1	6	60	num	60	Y	
16	p1	7	88	num	88	Y	
16	p1	8	27	num	27	Y	
16	p1	9	eig	clear	eig	Y	
16	p1	10	39	num	39	Y	
16	p1	11	44	num	44	Y	
17	p1	1	8	num	8	Y	
17	p1	2	7	num	7	Y	
17	p1	3	64	num	64	Y	
17	p1	4	39	num	39	Y	
18	p1	1	73	num	73	Y	
18	p1	2	74	num	74	Y	
18	p1	3	98	num	98	Y	
18	p1	4	14	num	14	Y	
18	p1	5	65	num	65	Y	
18	p1	6	93	num	93	Y	
18	p1	7	11	num	11	Y	
18	p1	8	27	num	27	Y	
18	p1	9	18	num	18	Y	
18	p1	10	5	num	5	Y	
19	p1	1	62	num	62	Y	
19	p1	2	42	num	42	Y	
19	p1	3	132	num	132	Y	
19	p1	4	ey	clear	ey	Y	
19	p1	5	9	num	9	Y	
20	p1	1	137	num	137	Y	
20	p1	2	frü	clear	frü	Y	
20	p1	3	9	num	9	Y	
20	p1	4	32	num	32	Y	
21	p1	1	63	num	63	Y	
21	p1	2	105	num	105	Y	
21	p1	3	37	num	37	Y	
21	p1	4	ch	clear	ch	Y	
21	p1	5	14	num	14	Y	
21	p1	6	16	num	16	Y	
21	p1	7	42	num	42	Y	
21	p1	8	69	num	69	Y	
21	p1	9	126	num	126	Y	
21	p1	10	in	clear	in	Y	
21	p1	11	66	num	66	Y	
21	p1	12	120	num	120	Y	
21	p1	13	v	clear	v	Y	
21	p1	14	127	num	127	Y	
21	p1	15	gü	clear	gü	Y	
21	p1	16	14	num	14	Y	
21	p1	17	88	num	88	Y	
21	p1	18	68	num	68	Y	
21	p1	19	128	num	128	Y	
21	p1	20	2	num	2	Y	
21	p1	21	e	clear	e	Y	
21	p1	22	115	num	115	Y	
21	p1	23	ogen	clear	ogen	Y	
21	p1	24	19	num	19	Y	
22	p1	1	336	num	336	Y	
22	p1	2	zu	clear	zu	Y	
22	p1	3	295	num	295	Y	
23	p1	1	28	num	28	Y	
23	p1	2	29	num	29	Y	
23	p1	3	59	num	59	Y	
23	p1	4	63	num	63	Y	
23	p1	5	n	clear	n	Y	
23	p1	6	19	num	19	Y	
23	p1	7	für	clear	für	Y	
23	p1	8	14	num	14	Y	
23	p1	9	3	num	3	Y	
23	p1	10	50	num	50	Y	
23	p1	11	98	num	98	Y	
23	p1	12	58	num	58	Y	
23	p1	13	59	num	59	Y	
23	p1	14	n	clear	n	Y	
23	p1	15	129	num	129	Y	
24	p1	1	157	num	157	Y	
24	p1	2	137	num	137	Y	
24	p1	3	133	num	133	Y	
25	p1	1	60	num	60	Y	
25	p1	2	76	num	76	Y	
25	p1	3	96	num	96	Y	
25	p1	4	18	num	18	Y	
25	p1	5	65	num	65	Y	
25	p1	6	93	num	93	Y	
25	p1	7	62	num	62	Y	
25	p1	8	64	num	64	Y	
