code	key_values	n_agreed_gloss_tokens	n_match	n_mismatch	match_share	example_mismatches
S31	P	19	17	2	0.89	11:55 gloss='r' vs key=['P']; 31:21 gloss='t' vs key=['P']
X	(not in key)	19	0	19	0.00	17:15 gloss='faut' vs key=(code not in key); 17:27 gloss='t' vs key=(code not in key); 17:31 gloss='o' vs key=(code not in key); 18:14 gloss='quil' vs key=(code not in key); 19:12 gloss='n' vs key=(code not in key)
7	V	18	17	1	0.94	06:19 gloss='y' vs key=['V']
S32	Q,n'aye	18	9	9	0.50	01:18 gloss='quel' vs key=['Q', "n'aye"]; 03:21 gloss='que' vs key=['Q', "n'aye"]; 04:23 gloss='quel' vs key=['Q', "n'aye"]; 06:34 gloss='que' vs key=['Q', "n'aye"]; 07:7 gloss='quel' vs key=['Q', "n'aye"]
S33	R	18	14	4	0.78	21:21 gloss='u' vs key=['R']; 24:2 gloss='f' vs key=['R']; 27:29 gloss='ra' vs key=['R']; 29:9 gloss='e' vs key=['R']
28	A	15	15	0	1.00	
S35	S	12	1	11	0.08	01:19 gloss='so' vs key=['S']; 03:30 gloss='so' vs key=['S']; 07:8 gloss='so' vs key=['S']; 07:31 gloss='so' vs key=['S']; 12:10 gloss='vos' vs key=['S']
S27	L	11	5	6	0.45	08:20 gloss='f' vs key=['L']; 10:27 gloss='-' vs key=['L']; 12:4 gloss='r' vs key=['L']; 19:1 gloss='s' vs key=['L']; 22:30 gloss='f' vs key=['L']
S29	M	11	9	2	0.82	18:17 gloss='gm' vs key=['M']; 19:16 gloss='on' vs key=['M']
S38	T	11	11	0	1.00	
22	DOUBLES:sc?,pour	9	6	3	0.67	12:32 gloss='pu' vs key=['DOUBLES:sc?', 'pour']; 20:30 gloss='bo' vs key=['DOUBLES:sc?', 'pour']; 28:21 gloss='w' vs key=['DOUBLES:sc?', 'pour']
68	(not in key)	8	0	8	0.00	05:22 gloss='tt' vs key=(code not in key); 07:26 gloss='ll' vs key=(code not in key); 08:11 gloss='ll' vs key=(code not in key); 17:18 gloss='ll' vs key=(code not in key); 18:20 gloss='ll' vs key=(code not in key)
S16	Le Duc de Guyse	7	0	7	0.00	02:12 gloss='d' vs key=['Le Duc de Guyse']; 02:30 gloss='d' vs key=['Le Duc de Guyse']; 03:17 gloss='d' vs key=['Le Duc de Guyse']; 04:5 gloss='d' vs key=['Le Duc de Guyse']; 04:7 gloss='d' vs key=['Le Duc de Guyse']
24	I	6	3	3	0.50	09:31 gloss='z' vs key=['I']; 17:24 gloss='tt' vs key=['I']; 23:4 gloss='t' vs key=['I']
73	Y	6	4	2	0.67	12:16 gloss='ll' vs key=['Y']; 13:12 gloss='z' vs key=['Y']
S30	N	6	6	0	1.00	
S52	ne	6	0	6	0.00	11:25 gloss='lle' vs key=['ne']; 12:11 gloss='m' vs key=['ne']; 21:13 gloss='m' vs key=['ne']; 26:16 gloss='m' vs key=['ne']; 27:19 gloss='ac' vs key=['ne']
S28	M	5	5	0	1.00	
S40	Z	5	1	4	0.20	03:13 gloss='r' vs key=['Z']; 07:14 gloss='r' vs key=['Z']; 08:4 gloss='r' vs key=['Z']; 14:38 gloss='x' vs key=['Z']
17	H	4	2	2	0.50	13:36 gloss='ch' vs key=['H']; 21:30 gloss='s' vs key=['H']
S02	F	4	4	0	1.00	
S44	NULLES:9	4	0	4	0.00	04:24 gloss='se' vs key=['NULLES:9']; 18:12 gloss='t' vs key=['NULLES:9']; 20:6 gloss='p' vs key=['NULLES:9']; 28:11 gloss='r' vs key=['NULLES:9']
11	(not in key)	2	0	2	0.00	06:29 gloss='n' vs key=(code not in key); 10:3 gloss='n' vs key=(code not in key)
3	B	2	1	1	0.50	28:29 gloss='bo' vs key=['B']
4	(not in key)	2	0	2	0.00	02:19 gloss='t' vs key=(code not in key); 08:32 gloss='f' vs key=(code not in key)
58	DOUBLES:tt	2	2	0	1.00	
76	DOUBLES:mm	2	0	2	0.00	15:19 gloss='u' vs key=['DOUBLES:mm']; 32:29 gloss='umm' vs key=['DOUBLES:mm']
8	(not in key)	2	0	2	0.00	30:18 gloss='b3' vs key=(code not in key); 32:28 gloss='o' vs key=(code not in key)
S03	G	2	0	2	0.00	02:18 gloss='a' vs key=['G']; 02:22 gloss='a' vs key=['G']
S13	artillerie	2	0	2	0.00	21:4 gloss='t' vs key=['artillerie']; 21:26 gloss='tu' vs key=['artillerie']
S76	Le Duc d'Aumale	2	0	2	0.00	13:10 gloss='r' vs key=["Le Duc d'Aumale"]; 21:9 gloss='r' vs key=["Le Duc d'Aumale"]
06	(not in key)	1	0	1	0.00	33:7 gloss='uu' vs key=(code not in key)
18	DOUBLES:cc	1	0	1	0.00	32:24 gloss='u' vs key=['DOUBLES:cc']
52	DOUBLES:pp	1	0	1	0.00	16:25 gloss='pr' vs key=['DOUBLES:pp']
54	DOUBLES:ss(long)	1	0	1	0.00	12:21 gloss='s?' vs key=['DOUBLES:ss(long)']
6	(not in key)	1	0	1	0.00	18:18 gloss='e' vs key=(code not in key)
72	(not in key)	1	0	1	0.00	15:7 gloss='i' vs key=(code not in key)
87	(not in key)	1	0	1	0.00	25:9 gloss='o' vs key=(code not in key)
S04	&	1	0	1	0.00	27:11 gloss='e' vs key=['&']
S14	leurs	1	0	1	0.00	08:24 gloss='g' vs key=['leurs']
S23	armee de mer	1	0	1	0.00	01:11 gloss='s' vs key=['armee de mer']
S45	NULLES:10	1	0	1	0.00	14:20 gloss='toue' vs key=['NULLES:10']
S60	vne?	1	0	1	0.00	29:28 gloss='o' vs key=['vne?']
S65	mon?	1	0	1	0.00	30:21 gloss='wol' vs key=['mon?']
